postUrl,description,commentCount,likeCount,pubDate,isSidecar,type,caption,profileUrl,username,taggedFullName1,taggedUsername1,imgUrl,postId,timestamp,query,videoUrl,viewCount,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,likedByViewer,videoDuration,playCount,fullName,location,locationId
https://www.instagram.com/p/CyM_N9jLdZe/,"Meet the Nike Alphafly 3. The fastest marathon shoe in the world. ⚡️

Tested and proven by the fastest runners in the world.

Coming for your personal best January 2024.",1221,199769,2023-10-10T03:18:28.000Z,true,Photo,"Photo shared by Nike on October 09, 2023 tagging @nikerunning. May be an image of sneakers and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/387268728_1000710907921203_1375171150777433483_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=103&_nc_ohc=urFzoa1bQwoAX8-jN1i&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBceGvf01WxXvK2pUTq_x1r3U3XzH-PJQm8HQFXbFWsyQ&oe=6531F329&_nc_sid=8b3546,3210218665981776747,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,Eliud Kipchoge - EGH🇰🇪,kipchogeeliud,Sifan Hassan,sifanhassan,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyMGLEkPWWU/,"The LeBron XXIs have arrived.

Built to take the next gen of hoopers to new heights 🚀.

Hit the link to shop now.",1129,811083,2023-10-09T19:00:00.000Z,true,Photo,"Photo by Nike on October 09, 2023. May be an image of sneakers, sportswear and text.",https://www.instagram.com/nike,nike,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387265114_1520962655355703_2154241074810158005_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=rpj2k2tLLEkAX9er7wu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCHUdIZFFa302xjMHhm-VGg7tpOlQiPr4PQv03y5KQYnQ&oe=6531AA6E&_nc_sid=8b3546,3209967778421201170,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyMGLEkPWWU/,"The LeBron XXIs have arrived.

Built to take the next gen of hoopers to new heights 🚀.

Hit the link to shop now.",1129,811083,2023-10-09T19:00:00.000Z,true,Photo,"Photo by Nike on October 09, 2023. May be an image of sneakers, sportswear and text.",https://www.instagram.com/nike,nike,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387271588_761635022391319_4476577141098713190_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=X_wEa73AlwsAX_vHjM2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAe1nnic-9EpJqiK-fNgciaU7xVcGnv0EIYLTGuW-2T2g&oe=65322923&_nc_sid=8b3546,3209967778295209850,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyMGLEkPWWU/,"The LeBron XXIs have arrived.

Built to take the next gen of hoopers to new heights 🚀.

Hit the link to shop now.",1129,811083,2023-10-09T19:00:00.000Z,true,Photo,"Photo by Nike on October 09, 2023. May be an image of sneakers, sportswear and text.",https://www.instagram.com/nike,nike,,,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387642032_342915738194075_3991373090014188993_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=-6CpiYplml8AX-MzVPP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCR3uHYi_SPyy3gRS8NDnnFRIOpdmbQx5cZzLP93X7W5g&oe=6531C797&_nc_sid=8b3546,3209967778303683953,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyJKtZTrk5M/,"@kelvinkiptumcheruiyot leaves the world behind. 🌎 

In his third marathon ever, Kelvin Kiptum sets a new World Record at @ChiMarathon, running the fastest official marathon of all time.

Congratulations, Kelvin. In 2:00:35, you’re leading the charge on the future of Running. ✨",715,106269,2023-10-08T15:41:55.000Z,true,Photo,"Photo shared by Nike on October 08, 2023 tagging @nikechicago, @nikerunning, and @kelvinkiptumcheruiyot. May be an image of 1 person, flag and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/387656974_828514779278227_3265022249010449266_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=UYHyDWHL5N4AX8fiXjO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDNFagPpbtWmH--EMGbt5v3py-x28YCTq044rBBGnweRg&oe=65320DCE&_nc_sid=8b3546,3209143304611402476,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,,,,nikechicago,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyJKtZTrk5M/,"@kelvinkiptumcheruiyot leaves the world behind. 🌎 

In his third marathon ever, Kelvin Kiptum sets a new World Record at @ChiMarathon, running the fastest official marathon of all time.

Congratulations, Kelvin. In 2:00:35, you’re leading the charge on the future of Running. ✨",715,106269,2023-10-08T15:41:55.000Z,true,Photo,"Photo shared by Nike on October 08, 2023 tagging @nikechicago, @nikerunning, and @kelvinkiptumcheruiyot. May be an image of 1 person, flag and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/386846514_630192372636683_5910071061790559230_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=n_oInZ7E2V4AX9kgpKT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA1JppxfZQ4619415lSREESyCMcYV1Voi29ZAcS6AllTg&oe=6530D110&_nc_sid=8b3546,3209143304577681944,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,,,,nikechicago,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyG44hquRiG/,"Rise to the challenge.
Climb the podium.
Claim the gold.

@bebe_vio sets the standard once again.

Congrats on your fourth gold at the World Championship. Where to next? 🏅",518,69949,2023-10-07T18:27:40.000Z,false,Photo,"Photo shared by Nike on October 07, 2023 tagging @bebe_vio. May be an image of 2 people, costume and text that says 'ΤΗE PHOENIX ALWAYS RISES. JsDol. Dolt. Just 美 き'.",https://www.instagram.com/nike,nike,Beatrice Maria Vio Grandis,bebe_vio,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387265065_1726988211150251_2042535804072295666_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=KeVv6IT7arkAX89UcrP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA_6Yii7dR-wATvEkhHtmPeU7zXksV_M8DzGFKBHKVfUg&oe=65323FD1&_nc_sid=8b3546,3208501959593629830,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyEYKk9PMKy/,"Few people make history, fewer people change it.

Today we celebrate @mrapinoe's well earned place in history during her final home game for the OL Reign.",1745,118677,2023-10-06T19:03:18.000Z,true,Photo,"Photo shared by Nike on October 06, 2023 tagging @mrapinoe, @nwsl, and @olreign. May be an image of 1 person, playing football, playing soccer, ball, stadium and text that says 'BLACK FUTUR FUND ИPA'.",https://www.instagram.com/nike,nike,Megan Rapinoe She/Her 🏳️‍🌈,mrapinoe,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/386546646_6438709509559729_2709382262978088181_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=Ry3aTLEx3xcAX-29PEQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDeRBL9K_Rml6UFEgQuJDGMFu0k-0_U7nbLbfh-2Bt5PQ&oe=6530FB82&_nc_sid=8b3546,3207795109093292623,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,,,National Women's Soccer League,nwsl,OL Reign,olreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyEYKk9PMKy/,"Few people make history, fewer people change it.

Today we celebrate @mrapinoe's well earned place in history during her final home game for the OL Reign.",1745,118677,2023-10-06T19:03:18.000Z,true,Video,"Photo shared by Nike on October 06, 2023 tagging @mrapinoe, @nwsl, and @olreign. May be an image of 1 person, playing football, playing soccer, ball, stadium and text that says 'BLACK FUTUR FUND ИPA'.",https://www.instagram.com/nike,nike,Megan Rapinoe She/Her 🏳️‍🌈,mrapinoe,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-15/386859237_160751790435374_2506908071924871647_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=eg2Ci_MU9vAAX_QIkVU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDgYuhdEfS9xcn8jA9RhBI-c5dG_gGdcOGdH6OZEA5JXw&oe=652E7C59&_nc_sid=8b3546,3207792898586105059,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,https://scontent-cdg4-1.cdninstagram.com/v/t50.2886-16/386165985_130562426814338_7087394568283983615_n.mp4?_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=WaaUh6vS7p0AX8d9riR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDIfAvyniOmFyxYHY4jOiDSfK2jTkqDCucHcMc3eJzHsA&oe=652E597A&_nc_sid=8b3546,420679,National Women's Soccer League,nwsl,OL Reign,olreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyEYKk9PMKy/,"Few people make history, fewer people change it.

Today we celebrate @mrapinoe's well earned place in history during her final home game for the OL Reign.",1745,118677,2023-10-06T19:03:18.000Z,true,Photo,"Photo shared by Nike on October 06, 2023 tagging @mrapinoe, @nwsl, and @olreign. May be an image of 1 person, playing football, playing soccer, ball, stadium and text that says 'BLACK FUTUR FUND ИPA'.",https://www.instagram.com/nike,nike,Megan Rapinoe She/Her 🏳️‍🌈,mrapinoe,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/385877231_730341212211979_8905750947176490768_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=CiOBOkr6q9IAX-eHMNG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAnlqvecTg-Z7dr5BXpKrMfCZn_pJ2f7dCfhlY7RZVjzQ&oe=65328A03&_nc_sid=8b3546,3207795109093268069,2023-10-16T02:24:00.760Z,https://www.instagram.com/nike/,,,National Women's Soccer League,nwsl,OL Reign,olreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
